The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_grad_cam_full_layer3_test.pt
P01_01_11-close-fridge: 0.5456169346530063
P01_01_227-take-glass: 0.4129471098383268
P01_01_246-put-down-spatula: 0.5038746139482029
P01_01_254-put-down-spoon: 0.7108760988230214
P01_01_255-open-cupboard: 0.47333334516003434
P01_01_305-take-spatula: 0.4493358470412775
P01_01_324-wash-pan: 0.8593799888795497
P01_01_49-take-spatula: 0.04552136138789173
P01_01_76-take-onion: 0.7718983305325987
P01_02_338-rinse-sponge: 0.0028092870602895526
P01_02_387-rinse-spoon: 0.19860354524617102
P01_02_417-rinse-fork: 0.05156886329983964
P01_02_421-rinse-plate: 0.972329747969029
P01_03_489-move-bottle: 0.0534801567767692
P01_03_493-open-cupboard: 0.9657251845899166
P01_05_562-take-plate: 0.9883568804638059
P01_05_628-peel-potato: 0.5105119412728384
P01_05_629-put-down-potato: 0.10665413234748092
P01_05_743-open-drawer: 0.5275791217810383
P01_06_830-wash-fork: 0.004778304879094803
P01_06_896-rinse-knife: 0.1971052076530588
P01_06_921-rinse-cloth: 0.0809008538722992
P01_07_955-open-cupboard: 0.49363461645940937
P01_09_1034-put-down-potato: 0.1428277986544166
P01_09_1170-wash-spatula: 0.23978962046071411
P01_09_1180-rinse-spatula: 0.28633418363272484
P01_09_1229-pour-potato: 0.3929466269472066
P01_09_1528-open-drawer: 0.5681845291864638
P01_09_1551-take-potato: 0.2901273494549826
P01_09_1678-open-fridge: 0.24381369677025314
P01_09_1743-open-fridge: 0.33377411548851754
P01_09_1859-take-plate: 0.9572339051202232
P01_16_2820-put-glass: 0.27637700131802145
P01_16_2866-close-cupboard: 0.5923951810371935
P01_17_2886-open-cupboard: 0.7725482941550367
P01_17_3150-rinse-cloth: 0.04457370870810586
P01_18_3170-open-fridge: 0.40056842805489024
P01_18_3324-hang-cloth: 0.060868404919792916
P01_18_3454-take-lid: 0.6864182981790281
P01_18_3469-turn-on-tap: 0.34349372907012116
P01_18_3548-open-drawer: 0.4625206346167069
P01_18_3688-take-sponge: 0.14540183541511056
P01_19_3910-rinse-glass: 0.6941678459737816
P01_19_3913-rinse-knife: 0.16059030275654923
P01_19_3950-rinse-sponge: 0.23990825744957536
P01_19_3973-rinse-cloth: 0.44881318946295945
P01_19_3976-rinse-cloth: 0.27169089562570053
P01_19_3986-hang-cloth: 0.47159530171101877
P02_01_4005-open-cupboard: 0.3999586046764664
P02_01_4033-put-spoon: 0.5078310814850471
P02_02_4107-wash-knife: 0.36258233121742367
P02_02_4111-wash-spoon: 0.607852373323312
P02_02_4113-wash-spoon: 0.8210606591282961
P02_03_4188-put-lid: 0.19827939118532573
P02_03_4202-close-cupboard: 0.4494355359498192
P02_03_4206-open-fridge: 0.44881429591891814
P02_03_4277-put-onion: 0.8091799642858735
P02_03_4296-pick-pot: 0.0020029034068584244
P02_03_4427-stir-onion: 0.5686071099749967
P02_03_4506-pick-up-pot: 0.19368117099956556
P02_04_4579-pick-up-glass: 0.9043187291598788
P02_04_4596-squeeze-sponge: 0.22934106208895352
P02_04_4612-pick-up-pan: 0.39478658697038305
P02_06_4766-rinse-lid: 0.30674993201505907
P02_06_4769-wash-spoon: 0.7879989956925605
P02_06_4787-rinse-fork: 0.0691583601639186
P02_09_5229-put-spoon: 0.9715407175870211
P02_09_5280-mix-bowl: 0.03528912738330808
P02_09_5338-return-drawer: 0.6986422903251415
P02_09_5384-chop-onion: 0.6260264840104854
P02_09_5385-chop-onion: 0.568136406075392
P02_09_5471-stir-onion: 0.5778987934447679
P02_09_5491-add-to-pan: 0.64806665693428
P02_09_5498-mix-meat: 0.388828938728308
P02_09_5501-break-meat: 0.49308535382516827
P02_09_5550-get-glass: 0.7779844286687234
P02_09_5563-hold-glass: 0.33903021251454074
P02_11_5765-stir-meat: 0.5144073581304767
P03_02_6280-fill-bottle: 0.7070049476535881
P03_02_6290-close-bottle: 0.4996878004541584
P03_02_6297-close-bottle: 0.26188765247808954
P03_02_6316-put-bottle: 0.46452244467595044
P03_02_6340-turn-off-tap: 0.0030275335955415286
P03_04_6681-turn-on-tap: 0.00133137995258485
P03_06_6837-tap-spoon: 0.5683432817331278
P03_06_6838-put-spatula: 0.2736829439967907
P03_09_6912-shake-bottle: 0.9230195569933629
P03_09_6939-fill-bottle: 0.5487626684062621
P03_09_7060-wash-fork: 0.0012207668630734962
P03_09_7068-rinse-bowl: 0.43005577973729253
P03_09_7071-rinse-bowl: 0.06001358414068818
P03_19_7340-turn-off-tap: 0.002265849517039154
P03_19_7365-put-bottle: 0.3527877959258416
P03_19_7373-fill-bottle: 0.191022504431506
P03_19_7452-wash-knife: 0.007120327265275752
P03_20_7490-put-lid: 0.4568322498442642
P03_27_7874-fill-glass: 0.5418685863925502
