Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_g_full_test.pt
Use 4 GPUs!
139242: 0.04671933819736296
208136: 0.23934668435140338
77933: 0.4048059376436868
60678: 0.013304254604008747
125118: 0.13430342425999697
133738: 0.04780276654128102
104179: 0.0037791597897012252
141930: 0.006996056612479151
58849: 0.030704042248544283
9116: 0.10969610877509695
18518: 0.014257437447668053
208019: 0.10283814928334323
59701: 0.315691543461071
160867: 0.002525654947021394
120824: 0.8246937989461003
19680: 0.0485260481145815
206826: 0.1115866680520412
79321: 0.14450770812072733
89328: 0.008551492780952685
117570: 0.018211225116829155
170391: 0.00023026854159979848
70174: 0.5103929904653342
182726: 0.18380002181584132
215032: 0.12097052269382402
52914: 0.025767975981125346
130003: 0.005514259428309742
62316: 0.6785437784521946
118582: 0.42647531623515533
75836: 0.5302461659739492
31938: 0.35426962532801554
13332: 0.25260552683357673
25472: 0.032907230757700745
87638: 0.00040040072417468764
148093: 0.01710621009260649
201342: 0.0004588216208958329
113500: 0.24337648850632831
121337: 0.14510139602680283
199113: 0.35584023887713556
67174: 0.20671637206760352
63822: 0.21416971309554356
88299: 0.17694529047003016
47054: 0.017672195453741324
113521: 0.048988731556164566
61572: 0.2839749597260379
49072: 0.23476088824827457
185945: 0.012560746896269848
186837: 0.03752210289133018
12229: 0.0025234581262338907
2417: 0.3690373559238651
23262: 0.03404161169601139
89019: 0.8825438095263962
87604: 0.9339517478838388
32140: 0.0887541392003186
34102: 0.013350516066566342
12384: 0.0010824439850694034
43126: 0.6980178830417572
99563: 0.8703639999039297
209593: 0.28368004735239083
131967: 0.0004105696980332141
60661: 0.0008130406786222011
108981: 0.19441905408712046
23892: 0.007460307930159615
216042: 0.047886028594803065
131932: 0.002623245549330022
33321: 0.19100414651802566
123713: 0.2804710494237952
106189: 0.5845751409742661
161541: 0.49416564790044504
41066: 0.17784891280462034
143962: 0.0030928464111639187
211702: 0.5331508043891517
69496: 0.20578937131176644
120137: 0.4576630812825897
146838: 0.39092106294992846
139484: 0.004755608017148916
80618: 0.18450081156333908
171217: 0.10272802066174336
194058: 0.0019219065870856866
89503: 0.15656556070462102
28135: 0.0007916500026681206
17011: 0.0074000678869197145
216098: 0.20967478458078403
10928: 0.42650811273961153
200339: 0.045734328818070935
166206: 0.013537195383833023
33257: 0.20168342395118088
133827: 0.26684808368008817
142266: 0.38959496684765327
149237: 0.6413981605328445
172312: 0.3205810880244826
133644: 0.011008304347342346
104742: 0.2851923395992344
40297: 0.0027294205801808857
200020: 0.532427842998004
100087: 0.3866892207388446
43819: 0.11211291644212906
77468: 0.0008321279982510532
13147: 0.07402874528634129
88931: 0.2402284611162031
152557: 0.02220522885909304
32811: 0.4719759000599879
19952: 0.5555236999734916
173875: 0.8581588417291641
60672: 0.09039740910520777
53345: 0.018197399273049086
75123: 0.6254601713226293
64506: 0.1343971673204578
190624: 0.3488755910511827
76109: 0.18009440407513466
52261: 0.12818871098716045
179142: 0.08668592889443971
184118: 0.6747626509059046
4820: 0.9274927855476562
111036: 0.4468968967339606
106612: 0.4062040274911851
174184: 0.5911046859200724
24705: 0.3299688455135765
6036: 0.0039196714151330525
144159: 0.734423641628382
135962: 0.5602886441120063
22001: 0.4530316041636979
182789: 0.11848271348935668
8542: 0.04211862830561586
120231: 0.12261609242523264
120106: 0.8786667741842393
150146: 0.31469058365473757
35052: 0.4461206497380772
215270: 0.12764668458839878
210804: 0.7184906098773354
114154: 0.0982701189132058
144885: 0.00147982614726061
26495: 0.030146047622110927
12679: 0.653561690425704
136579: 0.4647738129224308
166038: 0.5596956206809409
120224: 0.018813762435456738
117478: 0.25387679435152677
2645: 0.30387452411378035
102701: 0.39907456994478707
65522: 0.20496036930853734
104759: 0.024430280801425397
185472: 0.09059219471600954
52343: 0.03044507635786431
63061: 0.01201351011513907
69266: 0.008730676432605833
15065: 0.8361929515849624
164385: 0.19723721979244146
214198: 0.22044359417122905
141825: 0.0507769937539706
79237: 0.22135565187272732
98360: 0.041798535394264036
190983: 0.16654115686651494
215561: 0.03318041988131881
112088: 0.011611051148520346
185634: 0.10693882632767782
105526: 0.3322922615752759
142963: 0.00033073196320287934
99639: 0.09253005416576343
170439: 0.0019062549145019148
104561: 0.03266043174517108
36308: 0.20674660386430332
205405: 0.6016841640830535
46363: 0.002069973459583707
25859: 0.530279329734185
136695: 0.06811139529963839
106474: 0.521880495487494
67433: 0.6256695394258713
40719: 0.9006318098872725
133807: 0.36264948970710975
72232: 0.4387987990066904
199158: 0.0016991781722026644
18154: 0.06156244550948031
139430: 0.17677056336106034
12055: 0.738183276658674
150588: 0.5413667168322718
166796: 0.06463370027449855
16836: 0.12447588376380736
91959: 0.13680972307008687
74732: 0.0011194155231351033
92505: 0.0004225289968040613
85694: 0.002026684524025768
42068: 0.1340336499742989
74665: 0.5523943264361151
138967: 0.13357075507519767
215853: 0.08724178791453596
174854: 0.17072439628645952
125224: 0.5117770993965678
79045: 0.03129451716085896
91210: 0.5055857627976366
