Loaded /home/lzq/ExpEval/exe_res/sthsthv2_r2p1d_grad_cam_full_layer3_test.pt
139242: 0.008011207540221221
208136: 0.244490066281287
77933: 0.43626346904056845
60678: 0.008152803540724562
125118: 0.48851991724950494
133738: 0.34563689946662635
104179: 0.03935356647707522
141930: 0.005250954807706876
58849: 0.43140136716829147
9116: 0.046124926884658635
18518: 0.24943983855337137
208019: 0.22145511128474027
59701: 0.2805164984383737
160867: 0.06596767992596142
120824: 0.31370373333629686
19680: 0.8040156951028621
206826: 0.3669049896998331
79321: 0.20690179822304344
89328: 0.020006872897283756
117570: 0.4358102810292621
170391: 0.001566601041361082
70174: 0.35121783345311997
182726: 0.03918504175817361
215032: 0.19972300969675416
52914: 0.005678607888327747
130003: 0.7776701613183832
62316: 0.4711443328293967
118582: 0.7833525471723988
75836: 0.1916675895336084
31938: 0.669914722777321
13332: 0.6695535022736294
25472: 0.9619258611928672
87638: 0.0014249210835259873
148093: 0.9375628097914159
201342: 0.00047016523325282833
113500: 0.4023596117112902
121337: 0.4832039887987776
199113: 0.2957536727990373
67174: 0.6964904940468841
63822: 0.1876553066977067
88299: 0.1773725570019451
47054: 0.0016276106221084774
113521: 0.921732829650864
61572: 0.560886059232871
49072: 0.7322129679523641
185945: 0.017023382726620184
186837: 0.016504939401784213
12229: 0.2918530665410799
2417: 0.5129425744671607
23262: 0.0002860184089854556
89019: 0.6505537689372431
87604: 0.43388474846142344
32140: 0.07076910346222576
34102: 0.07697192705381894
12384: 0.00752722572951825
43126: 0.20226421987172216
99563: 0.6025926582224201
209593: 0.8938893291633576
131967: 0.0002329462905663604
60661: 0.0017836953138612444
108981: 0.15472063233210065
23892: 0.34919261944742175
216042: 0.12965938810521038
131932: 0.0010292404986103065
33321: 0.32160235197807197
123713: 0.3104144614044344
106189: 0.6989740815915866
161541: 0.7804135492042406
41066: 0.14758960632025264
143962: 0.30211073414830025
211702: 0.3321587018435821
69496: 0.36294193371031724
120137: 0.46120510251785163
146838: 0.32637440238613635
139484: 0.6066035640542395
80618: 0.3015666033461457
171217: 0.336915495347057
194058: 0.006036499195033684
89503: 0.827851498965174
28135: 0.0006572691144697274
17011: 0.05444236959374393
216098: 0.3363098375630216
10928: 0.7158926683623577
200339: 0.40485173298657173
166206: 0.031229113090375904
33257: 0.13408605233416893
133827: 0.6215457457728917
142266: 0.8184278035187162
149237: 0.06934517816989683
172312: 0.06772588503736188
133644: 0.007727954365691403
104742: 0.4739873558010004
40297: 0.014727845824381802
200020: 0.6097369223170972
100087: 0.756228766122149
43819: 0.20331370046915254
77468: 0.0032961389151751064
13147: 0.058461879263632
88931: 0.015892126281869423
152557: 0.010140456990484381
32811: 0.36003998564046924
19952: 0.6966748368431581
173875: 0.9069906819640892
60672: 0.0681110915102181
53345: 0.09859715517086443
75123: 0.5941918278876983
64506: 0.335894142412144
190624: 0.666055587142182
76109: 0.38311930328200106
52261: 0.009616317639256522
179142: 0.04402511829903233
184118: 0.8150604625407141
4820: 0.7735700092453044
111036: 0.24878620740855695
106612: 0.6127539535300457
174184: 0.7296081653767033
24705: 0.5094298781204998
6036: 0.18732700262626167
144159: 0.19443697688984685
135962: 0.40653602623569896
22001: 0.6209857273133821
182789: 0.3236297145267599
8542: 0.06792202880023979
120231: 0.14666977574415796
120106: 0.6536280016589444
150146: 0.07585225880939106
35052: 0.38805374737421516
215270: 0.41894925933593186
210804: 0.9626656076870859
114154: 0.9239930617623031
144885: 0.16638132293883245
26495: 0.0013591892311524134
12679: 0.7804369731456973
136579: 0.6898053449549479
166038: 0.9014954716403736
120224: 0.01455491294109379
117478: 0.792874035279965
2645: 0.1731312135270855
102701: 0.39033975856000325
65522: 0.6115888563253975
104759: 0.08234397510750568
185472: 0.19480003018543357
52343: 0.256596436334803
63061: 0.008052361956288223
69266: 0.1718951646471396
15065: 0.5288378265395295
164385: 0.3682140746204823
214198: 0.04840838404925307
141825: 0.3104275188925385
79237: 0.8277456932482892
98360: 0.05965700086380821
190983: 0.05008204109799408
215561: 0.06022938388559851
112088: 0.010277209514242713
185634: 0.02263117326219799
105526: 0.3527561037644773
142963: 0.0411083714425331
99639: 0.6454232328542275
170439: 0.008447299493127503
104561: 0.1908834423229564
36308: 0.27452182153137983
205405: 0.3696848760773719
46363: 0.040377885201451136
25859: 0.07028814181103371
136695: 0.565643408393953
106474: 0.8159734504733933
67433: 0.6069227450279868
40719: 0.5439905889506917
133807: 0.32317080833308864
72232: 0.6113961221599311
199158: 0.23598891690380697
18154: 0.34000390023720684
139430: 0.09976489395558019
12055: 0.54547853876511
150588: 0.3761444706688053
166796: 0.023100947235434433
16836: 0.948491143528372
91959: 0.010254604974761605
74732: 0.004036711001390358
92505: 0.00044101000060692286
85694: 0.058913334825774655
42068: 0.6362544966104906
74665: 0.4975714486063225
138967: 0.11119654319918482
215853: 0.21813077714614337
174854: 0.4447337764158874
125224: 0.39326626330876024
79045: 0.5861103754723445
91210: 0.8118472081114305
145719: 0.6544205831451109
146631: 0.30426923579216236
63163: 0.0003077420177817203
202581: 0.009969428143449477
33079: 0.04013795321225189
162835: 0.13697124167811126
45213: 0.05995162940962473
893: 0.2151267748195096
101217: 0.004839275119593367
68709: 0.0031944199017743813
160220: 0.2924224403395783
193490: 0.04495055814300031
206028: 0.09355034873442492
171527: 0.6865376779023791
95431: 0.08277885228017112
95949: 0.34428092290181667
220461: 0.7607495079719229
200057: 0.14914253004462807
97085: 0.8604822191555286
47610: 0.022884141522808932
181793: 0.21207545034849318
123709: 0.013132676864188397
73565: 0.02478166277433047
151270: 0.24716271741635865
129592: 0.4600194991835451
128494: 0.8545164868410211
145958: 0.040540652349591255
164659: 0.010418040388685768
198342: 0.30289512090894277
24023: 0.13827740503074892
5532: 0.9136134809814394
191418: 0.07621655080765777
207874: 0.05536427119659493
190482: 0.07024192614335334
47613: 0.0017614040280022891
142506: 0.011332733965900843
111318: 0.5965024361357791
114264: 0.13721349903426017
192597: 0.7202214142889716
78062: 0.49623879880709865
132708: 0.09424167801626027
112723: 0.09427944802155253
206077: 0.862368822330609
214021: 0.06434691419417504
67692: 0.002735481269837692
176333: 0.8850305158593983
