Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_test_summed.pt
Use 4 GPUs!
139242: 0.030317387927425443
208136: 0.27852454914136615
77933: 0.38686702572886134
60678: 0.016151439031091286
125118: 0.31243937065301
133738: 0.0760838852620509
104179: 0.0044019212255079765
141930: 0.011459826107966364
58849: 0.03986404680472333
9116: 0.08108850188727956
18518: 0.022695308449328877
208019: 0.16522237471144763
59701: 0.36248694145797344
160867: 0.007086083618560224
120824: 0.6903964280354558
19680: 0.4907972658184008
206826: 0.10645503596242634
79321: 0.10305477129259089
89328: 0.004775104072450631
117570: 0.009824318880419014
170391: 0.0014679600963063422
70174: 0.6182400850011618
182726: 0.11652567486817134
215032: 0.2052279167692177
52914: 0.04876948290575456
130003: 0.03148992543719942
62316: 0.807770224603928
118582: 0.7419846057382529
75836: 0.5974594032595633
31938: 0.7071597591857426
13332: 0.10458829173330741
25472: 0.039196392499434296
87638: 0.0006889850519655738
148093: 0.05101008082419867
201342: 0.0006758203046501876
113500: 0.43595776957226917
121337: 0.23983679491539078
199113: 0.2659636467178643
67174: 0.3001191303083033
63822: 0.1667806230343558
88299: 0.15954399754991755
47054: 0.02211309166679598
113521: 0.33764895235799486
61572: 0.4026503108689212
49072: 0.44507791879732395
185945: 0.0035962562851636903
186837: 0.03832855746043151
12229: 0.0029108454764354974
2417: 0.379101153159354
23262: 0.01693603790772613
89019: 0.914514072053862
87604: 0.8208567027941172
32140: 0.04682549770222977
34102: 0.11108459390015923
12384: 0.022727720093826065
43126: 0.5936418053897796
99563: 0.8679120436318044
209593: 0.5161607223344618
131967: 0.010159487818782509
60661: 0.0015217708714772016
108981: 0.04429867282124178
23892: 0.011409713555622147
216042: 0.1504593786667101
131932: 0.0046464474507956766
33321: 0.19414222675732162
123713: 0.3305211292463355
106189: 0.5219347720358201
161541: 0.6701725014809199
41066: 0.10405904802610166
143962: 0.007511923598940484
211702: 0.6368509057647316
69496: 0.15347090262184793
120137: 0.4556058567704895
146838: 0.5446116395032732
139484: 0.009779758962395135
80618: 0.3088475446566008
171217: 0.08087572109070607
194058: 0.0018818036041921005
89503: 0.6313658493818366
28135: 0.0007661593545549295
17011: 0.01357098612061236
216098: 0.10813374970348377
10928: 0.41769014198689547
200339: 0.08360491101120715
166206: 0.013245529367850395
33257: 0.41042979760459275
133827: 0.3424293660573312
142266: 0.35554703541492927
149237: 0.7039612818516616
172312: 0.7071634625972365
133644: 0.01389925441617379
104742: 0.4202358414531773
40297: 0.014172884432809951
200020: 0.5572697476382018
100087: 0.33542803413911315
43819: 0.09784287902948563
77468: 0.002897555599588486
13147: 0.06318597494828282
88931: 0.4299371559318388
152557: 0.07375341368606314
32811: 0.22240398061876476
19952: 0.7104877297624625
173875: 0.345475897192955
60672: 0.19778618862619624
53345: 0.06848764669848606
75123: 0.7473909493492101
64506: 0.07020107990047109
190624: 0.4339017658348894
76109: 0.20601312622784462
52261: 0.0620492364760139
179142: 0.07035938222543336
184118: 0.9393935050356959
4820: 0.9661695838913147
111036: 0.3659097412964911
106612: 0.2770294075780839
174184: 0.6807718869622477
24705: 0.3733617421657982
6036: 0.0033442574876971776
144159: 0.7818346661988471
135962: 0.6877661111720954
22001: 0.785493259303621
182789: 0.21911668488246505
8542: 0.04073347969097085
120231: 0.07267696664894174
120106: 0.9526825107641343
150146: 0.28648363918910036
35052: 0.4304415883252659
215270: 0.2744710295810364
210804: 0.9142605159213417
114154: 0.3933554745526635
144885: 0.025309251483122353
26495: 0.15263039633646258
12679: 0.5402465849874716
136579: 0.7104559034432896
166038: 0.5817851020347007
120224: 0.021707677835365757
117478: 0.34929632045168546
2645: 0.6896697895499528
102701: 0.5305577075523615
65522: 0.20809761508280644
104759: 0.1673057193575005
185472: 0.05916868559506838
52343: 0.22963328270270722
63061: 0.004980373441867414
69266: 0.027982728031929582
15065: 0.7516556839000259
164385: 0.35757584510429297
214198: 0.4782290932671458
141825: 0.05962436077243183
79237: 0.365232249157998
98360: 0.010756919751656824
190983: 0.5804421282791736
215561: 0.027944081057285075
112088: 0.0015882402553870634
185634: 0.20580254722153768
105526: 0.38158583924632694
142963: 0.00375282036040403
99639: 0.15270490677539783
170439: 0.09295899852077127
104561: 0.015870939525484573
36308: 0.2592145908056409
205405: 0.5581317057967681
46363: 0.002415970971924253
25859: 0.6237461480668571
136695: 0.13328397816439974
106474: 0.48316313618306594
67433: 0.7239903216104722
40719: 0.9094965702861373
133807: 0.6960284603301261
72232: 0.48831878492092073
199158: 0.0016720643452572403
18154: 0.10115868275170214
139430: 0.3428914203614113
12055: 0.8481725025230844
150588: 0.4371777083579218
166796: 0.020259647839338868
16836: 0.24732929698802764
91959: 0.18599997608941976
74732: 0.0007815678982296959
92505: 0.005602072685231718
85694: 0.0026898481301032007
42068: 0.5949411092333321
74665: 0.3720594007845648
138967: 0.15875452215550467
215853: 0.1627126228850102
174854: 0.10590304869219835
125224: 0.7218287551659159
79045: 0.05914478743216023
91210: 0.6288934081185289
145719: 0.35031259221614164
146631: 0.2120150866867334
63163: 0.03315313686147192
202581: 0.04707493165642518
33079: 0.16158068462391384
162835: 0.15001654834486544
45213: 0.01626040741757606
893: 0.17064954935995047
101217: 0.06428722640339402
68709: 0.033567570795412394
160220: 0.8092674275867466
193490: 0.3488459103173227
206028: 0.007438118936988758
171527: 0.681637060990397
95431: 0.003095163632679032
95949: 0.6825045786536066
220461: 0.20091092878465133
200057: 0.038458666736801206
97085: 0.058966779710317496
47610: 0.004094309561878617
181793: 0.13629914034390822
123709: 0.11121626944941454
73565: 0.030507367937389063
151270: 0.1169741304256604
129592: 0.40601479824545095
128494: 0.8927486713982944
145958: 0.0209065584349446
164659: 0.021519008592804312
198342: 0.004188089762465097
24023: 0.009018137598104659
5532: 0.12552557720482582
191418: 0.01175312056312805
207874: 0.1640865141816903
190482: 0.39483206906879786
47613: 0.000739934854607327
142506: 0.013911788128098124
111318: 0.41786528367993014
114264: 0.013165191528969444
192597: 0.09749217585340375
78062: 0.05166410111087316
132708: 0.3443868792965077
112723: 0.011485961673315614
206077: 0.10834520168282324
214021: 0.3705660992782214
67692: 0.0025149895227514207
176333: 0.6602037330758321
9373: 0.2636526009737281
128081: 0.013345536253837054
8444: 0.02499742184227216
160198: 0.5873543458728818
33525: 0.5886395819925383
187807: 0.026180187986028614
24441: 0.029935270840724115
198481: 0.8657417711801827
98916: 0.10680718229559716
114265: 0.7789340530071058
10768: 0.010431275304654264
174741: 0.0049170044585480355
115530: 0.6530279344387964
172284: 0.024202611422879272
162876: 0.12804500967104104
8445: 0.3527365114296117
110043: 0.0829795598401688
1694: 0.6791548344062903
54977: 0.21580050985721755
178202: 0.14155515650782036
95108: 0.8885410142138426
212969: 0.11221565622327034
135196: 0.20107214529161865
141975: 0.10465066825236136
17202: 0.0010748913205134158
148848: 0.17301882722858863
2060: 0.000495435683433243
188919: 0.21283963744645007
22357: 0.29071212689814274
64089: 0.5668691819901142
68883: 0.2382207963964902
179063: 0.7061183417536085
214793: 0.7493508096176811
631: 0.03672717113113322
131466: 0.6411869437433779
185267: 0.09853140127961524
67512: 0.0670104221208021
64031: 0.23990930816580658
101323: 0.02591049265174661
139224: 0.31038772674219217
206775: 0.0807144147111103
