Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_g_full_test.pt
Use 4 GPUs!
139242: 0.20984076022327258
208136: 4.4967132587281355e-05
77933: 0.7396357224001068
60678: 0.0010975017641099427
125118: 0.6113778702858781
133738: 0.02599838346226857
104179: 0.00016611496001228687
141930: 0.5625710500315009
58849: 0.023922820959477065
9116: 1.219646559835752e-05
18518: 0.16312092469860318
208019: 0.00031363285610819247
59701: 0.7909772909622816
160867: 0.00023239664482981991
120824: 0.6547701889172108
19680: 0.043221607004830104
206826: 0.03873937176116993
79321: 0.0004261517545139093
89328: 0.23060901775659562
117570: 0.01783492766018968
170391: 0.00148592297475858
70174: 0.48505764019184433
182726: 0.5158316041911934
215032: 0.2697759750005275
52914: 0.0031241617088007267
130003: 1.170990069499838e-05
62316: 0.7692816242483786
118582: 0.7424918176521483
75836: 1.4035506168186274e-05
31938: 0.32287614768739026
13332: 0.3955207152428367
25472: 0.024168584976883095
87638: 5.9776187778769196e-05
148093: 0.5639924677243247
201342: 0.002840850886039763
113500: 0.5378158597684948
121337: 0.42316201302653933
199113: 0.18926068912999316
67174: 0.47415981011474495
63822: 4.42651436552699e-05
88299: 0.024852861255391545
47054: 2.5321825925850305e-05
113521: 0.45190424240806837
61572: 0.001057774999174227
49072: 0.02644824010478175
185945: 0.12671267699386266
186837: 0.025770639385609972
12229: 6.504597396528311e-05
2417: 0.3392182914717452
23262: 0.000668964674984493
89019: 0.6610556830560199
87604: 0.854093251647555
32140: 0.4367246313192368
34102: 0.022763759717438256
12384: 3.711869037469509e-05
43126: 0.3498441222578199
99563: 0.6407774872054688
209593: 0.5305047694282397
131967: 8.109938704281561e-05
60661: 0.008514351772614503
108981: 0.496977710986215
23892: 0.02755787631506089
216042: 0.4613308231289981
131932: 0.0019681017788446553
33321: 0.021257823583702873
123713: 0.1402071518529624
106189: 0.5880828497136273
161541: 0.7631318566525617
41066: 0.0011111090508180155
143962: 0.08067235464085343
211702: 0.422559169771886
69496: 0.015491263830739399
120137: 0.35682210665572
146838: 0.799848285455993
139484: 0.00013433274659013894
80618: 0.07524277406599822
171217: 0.01796260572970354
194058: 0.011889350240080171
89503: 0.11943446636812524
28135: 0.003191480807729352
17011: 1.6695342415218306e-05
216098: 0.05033484463228177
10928: 0.0146730084847988
200339: 0.22256411950113242
166206: 6.30840147724937e-05
33257: 0.3660558179394684
133827: 0.592399831898928
142266: 0.5391265064489947
149237: 0.7973329621740959
172312: 0.5740891721480462
133644: 0.06382496906418972
104742: 0.013347530278082331
40297: 0.0015149227521593644
200020: 0.5290031533918591
100087: 0.5463193598114131
43819: 0.01072254057574018
77468: 9.31903168865933e-06
13147: 0.0016035466585009317
88931: 0.0009712139813577991
152557: 0.008533118985548427
32811: 0.11761838990349391
19952: 0.0033184664019659527
173875: 0.783828919287771
