Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_sg2_full_test.pt
Use 4 GPUs!
('139242', '208136', '77933', '60678', '125118', '133738', '104179', '141930', '58849', '9116', '18518', '208019', '59701', '160867', '120824', '19680', '206826', '79321', '89328', '117570', '170391', '70174', '182726', '215032', '52914', '130003', '62316', '118582', '75836', '31938', '13332', '25472', '87638', '148093', '201342', '113500', '121337', '199113', '67174', '63822', '88299', '47054', '113521', '61572', '49072', '185945', '186837', '12229') tensor([19, 18, 24,  7, 11,  7,  7, 22, 14, 20,  2,  7, 22, 23, 20, 16,  7,  8,
         8, 12, 14,  9, 13,  2,  8, 16,  0, 17, 20,  3,  1, 16, 21, 16, 14,  3,
         1, 15,  5,  1,  3, 20, 16, 16, 24,  6, 24, 21]) ('Pushing something so that it falls off the table', 'Pouring something into something', 'Lifting something with something on it', 'Moving something up', 'Uncovering something', 'Moving something up', 'Moving something up', 'Moving something and something closer to each other', 'Putting something on a surface', 'Showing that something is empty', 'Covering something with something', 'Moving something up', 'Moving something and something closer to each other', 'Showing something to the camera', 'Showing that something is empty', 'Putting something similar to other things that are already on the table', 'Moving something up', 'Opening something', 'Opening something', 'Moving something down', 'Putting something on a surface', 'Stuffing something into something', 'Squeezing something', 'Covering something with something', 'Opening something', 'Putting something similar to other things that are already on the table', 'Tearing something into two pieces', 'Folding something', 'Showing that something is empty', 'Turning something upside down', 'Plugging something into something', 'Putting something similar to other things that are already on the table', 'Pushing something so that it slightly moves', 'Putting something similar to other things that are already on the table', 'Putting something on a surface', 'Turning something upside down', 'Plugging something into something', 'Putting something into something', 'Tearing something just a little bit', 'Plugging something into something', 'Turning something upside down', 'Showing that something is empty', 'Putting something similar to other things that are already on the table', 'Putting something similar to other things that are already on the table', 'Lifting something with something on it', 'Taking one of many similar things on the table', 'Lifting something with something on it', 'Pushing something so that it slightly moves')
139242: 0.174755874445367
208136: 0.004103598418668142
77933: 0.8452896640314239
60678: 0.0011085468995757353
125118: 0.538776849949727
133738: 0.00540042562365084
104179: 0.00047507982533812054
141930: 0.7209171069696723
58849: 0.24618757787370527
9116: 0.00010685129809839822
18518: 0.390996633300972
208019: 0.011016746153603485
59701: 0.36224507413843554
160867: 0.0032819490854731227
120824: 0.7437395387783559
19680: 0.1303583084527193
206826: 0.019629428927276926
79321: 0.0005974366162924405
89328: 0.2780254961520576
117570: 0.0054257682340197455
170391: 0.04753161491412072
70174: 0.45570980368622266
182726: 0.08127520192370419
215032: 0.47473393703666034
52914: 0.0030144230358395696
130003: 0.005165126422956976
62316: 0.8162358984259299
118582: 0.7117988854561869
75836: 0.00028658637824885425
31938: 0.6366054068728833
13332: 0.3624804599346855
25472: 0.046132729869873684
87638: 0.0007557556614546171
148093: 0.9186082752575888
201342: 0.07931319150336864
113500: 0.5254092721677868
121337: 0.8608245846951642
199113: 0.4792797393705098
67174: 0.38376769738281136
63822: 3.408321735584585e-05
88299: 0.07649923554509463
47054: 3.4598892020287764e-05
113521: 0.9099965742943599
61572: 0.004413349328095534
49072: 0.18397771346773795
185945: 0.31265061806824623
186837: 0.46847099562839134
12229: 4.9867077418497274e-05
('2417', '23262', '89019', '87604', '32140', '34102', '12384', '43126', '99563', '209593', '131967', '60661', '108981', '23892', '216042', '131932', '33321', '123713', '106189', '161541', '41066', '143962', '211702', '69496', '120137', '146838', '139484', '80618', '171217', '194058', '89503', '28135', '17011', '216098', '10928', '200339', '166206', '33257', '133827', '142266', '149237', '172312', '133644', '104742', '40297', '200020', '100087', '43819') tensor([18, 15,  0,  0,  2,  5,  2, 20,  0, 16, 13, 21, 19,  5,  3, 13, 18,  2,
         1,  1, 10,  2, 20, 19, 18, 20, 16,  2, 21, 10, 16, 12, 14, 18, 18,  5,
         5,  0, 24, 12,  0, 17,  9, 19,  3,  9, 22, 15]) ('Pouring something into something', 'Putting something into something', 'Tearing something into two pieces', 'Tearing something into two pieces', 'Covering something with something', 'Tearing something just a little bit', 'Covering something with something', 'Showing that something is empty', 'Tearing something into two pieces', 'Putting something similar to other things that are already on the table', 'Squeezing something', 'Pushing something so that it slightly moves', 'Pushing something so that it falls off the table', 'Tearing something just a little bit', 'Turning something upside down', 'Squeezing something', 'Pouring something into something', 'Covering something with something', 'Plugging something into something', 'Plugging something into something', 'Something falling like a rock', 'Covering something with something', 'Showing that something is empty', 'Pushing something so that it falls off the table', 'Pouring something into something', 'Showing that something is empty', 'Putting something similar to other things that are already on the table', 'Covering something with something', 'Pushing something so that it slightly moves', 'Something falling like a rock', 'Putting something similar to other things that are already on the table', 'Moving something down', 'Putting something on a surface', 'Pouring something into something', 'Pouring something into something', 'Tearing something just a little bit', 'Tearing something just a little bit', 'Tearing something into two pieces', 'Lifting something with something on it', 'Moving something down', 'Tearing something into two pieces', 'Folding something', 'Stuffing something into something', 'Pushing something so that it falls off the table', 'Turning something upside down', 'Stuffing something into something', 'Moving something and something closer to each other', 'Putting something into something')
2417: 0.05903173053547306
23262: 0.0009555683706982537
89019: 0.8685743202363483
87604: 0.8827484826465479
32140: 0.45473489045951965
34102: 0.17379223823556667
12384: 1.740565828621965e-05
43126: 0.37480484794247015
99563: 0.7447796053161255
209593: 0.9223241869048937
131967: 0.00015541846281319494
60661: 0.0027545056009010693
108981: 0.324762636685449
23892: 0.03311930687525298
216042: 0.32978873652774077
131932: 2.2023953748728786e-05
33321: 0.008496498357537519
123713: 0.5330899161924094
106189: 0.7951641080105939
161541: 0.8756903407300153
41066: 0.01838197874276659
143962: 0.07671497386735382
211702: 0.3479075999453576
69496: 0.11065201752975895
120137: 0.48135054520707143
146838: 0.7518508689932437
139484: 0.0031970061980854964
80618: 0.2822976099266157
171217: 0.17912435221020573
194058: 0.0017714438614977457
89503: 0.12255049102620916
28135: 0.0008654775155467753
17011: 0.000978429650121626
216098: 0.018342036667938544
10928: 0.011883440794456135
200339: 0.11608662041655614
166206: 0.00020473883327874753
33257: 0.3792492483185015
133827: 0.5052946182344559
142266: 0.5947600513708697
149237: 0.5994347530790947
172312: 0.7329770949118707
133644: 0.04742074962679915
104742: 0.02034141705993875
40297: 0.013812160862466172
200020: 0.4623747568807813
100087: 0.5561747494064448
43819: 0.008752559557093531
('77468', '13147', '88931', '152557', '32811', '19952', '173875', '60672', '53345', '75123', '64506', '190624', '76109', '52261', '179142', '184118', '4820', '111036', '106612', '174184', '24705', '6036', '144159', '135962', '22001', '182789', '8542', '120231', '120106', '150146', '35052', '215270', '210804', '114154', '144885', '26495', '12679', '136579', '166038', '120224', '117478', '2645', '102701', '65522', '104759', '185472', '52343', '63061') tensor([15, 23, 20,  3,  6,  1,  4,  3,  2, 17,  6, 11, 18, 24, 10,  0,  0,  9,
         5,  1,  8,  1,  0, 17, 11,  5, 10,  8,  0,  9, 18,  3, 16, 16, 16, 13,
        12,  1,  1, 10,  7,  9, 15,  9,  9,  5, 17, 19]) ('Putting something into something', 'Showing something to the camera', 'Showing that something is empty', 'Turning something upside down', 'Taking one of many similar things on the table', 'Plugging something into something', 'Something falling like a feather or paper', 'Turning something upside down', 'Covering something with something', 'Folding something', 'Taking one of many similar things on the table', 'Uncovering something', 'Pouring something into something', 'Lifting something with something on it', 'Something falling like a rock', 'Tearing something into two pieces', 'Tearing something into two pieces', 'Stuffing something into something', 'Tearing something just a little bit', 'Plugging something into something', 'Opening something', 'Plugging something into something', 'Tearing something into two pieces', 'Folding something', 'Uncovering something', 'Tearing something just a little bit', 'Something falling like a rock', 'Opening something', 'Tearing something into two pieces', 'Stuffing something into something', 'Pouring something into something', 'Turning something upside down', 'Putting something similar to other things that are already on the table', 'Putting something similar to other things that are already on the table', 'Putting something similar to other things that are already on the table', 'Squeezing something', 'Moving something down', 'Plugging something into something', 'Plugging something into something', 'Something falling like a rock', 'Moving something up', 'Stuffing something into something', 'Putting something into something', 'Stuffing something into something', 'Stuffing something into something', 'Tearing something just a little bit', 'Folding something', 'Pushing something so that it falls off the table')
77468: 0.00028542821089250214
13147: 0.04475677591535998
88931: 0.005509219977795077
152557: 0.00714781283186916
32811: 0.03588611773300984
19952: 0.13871247569781872
173875: 0.7663188066799194
60672: 0.09675501245674845
53345: 0.203645892702923
75123: 0.8352409667250636
64506: 0.4006605716641005
190624: 0.639930200617755
76109: 7.618405697229491e-05
52261: 0.0020790569517525614
179142: 0.02158906794863924
184118: 0.8979833143671385
4820: 0.6254608606827787
111036: 0.44804035087556265
106612: 0.7887559434213675
174184: 0.9444424507344403
24705: 0.44946803930850265
6036: 0.10341050226844181
144159: 0.13130659739499606
135962: 0.8152638246220473
22001: 0.5123113103620653
182789: 0.3918955706805921
8542: 0.049575783108593896
120231: 0.00487957959137833
120106: 0.7281943092962138
150146: 0.001477455808544692
35052: 0.00985799284125477
215270: 0.2783891486413328
210804: 0.8504935864047869
114154: 0.061455199888746675
144885: 0.636165527642311
26495: 0.0004780882995536473
12679: 0.7025891585753219
136579: 0.6921441503471025
166038: 0.36596378284937525
120224: 0.004832888649247025
117478: 0.4090284695340811
2645: 0.6017947241894217
102701: 0.5323273700735865
65522: 0.1456462498231486
104759: 0.0107637199221427
185472: 0.27396687900656824
52343: 0.25178315615364644
63061: 0.0010363602694667406
('69266', '15065', '164385', '214198', '141825', '79237', '98360', '190983', '215561', '112088', '185634', '105526', '142963', '99639', '170439', '104561', '36308', '205405', '46363', '25859', '136695', '106474', '67433', '40719', '133807', '72232', '199158', '18154', '139430', '12055', '150588', '166796', '16836', '91959', '74732', '92505', '85694', '42068', '74665', '138967', '215853', '174854', '125224', '79045', '91210', '145719', '146631', '63163') tensor([23,  0, 14, 15, 14,  5,  1,  8,  6,  8,  3,  8,  2,  1, 13, 10,  9,  6,
        14,  0, 12,  1, 11,  0, 13,  6,  8, 21, 17,  0, 11, 19, 16, 20, 21,  8,
