,ins_cm_ucf101_r2p1d_g,ins_cm_ucf101_r2p1d_ig,ins_cm_ucf101_r2p1d_sg,ins_cm_ucf101_r2p1d_sg2,ins_cm_ucf101_r2p1d_grad_cam,ins_cm_ucf101_r2p1d_grad_cam_layer3,ins_cm_ucf101_r2p1d_perturb,ins_cm_ucf101_r2p1d_perturb_core5,ins_cm_ucf101_r2p1d_perturb_core11,ins_cm_ucf101_r50l_g,ins_cm_ucf101_r50l_ig,ins_cm_ucf101_r50l_sg,ins_cm_ucf101_r50l_sg2,ins_cm_ucf101_r50l_grad_cam,ins_cm_ucf101_r50l_perturb,ins_cm_ucf101_r50l_perturb_core5,ins_cm_ucf101_r50l_perturb_core11,ins_cm_16_ucf101_r2p1d_g,ins_cm_16_ucf101_r2p1d_ig,ins_cm_16_ucf101_r2p1d_sg,ins_cm_16_ucf101_r2p1d_sg2,ins_cm_16_ucf101_r2p1d_grad_cam,ins_cm_16_ucf101_r2p1d_grad_cam_layer3,ins_cm_16_ucf101_r2p1d_perturb,ins_cm_16_ucf101_r2p1d_perturb_core5,ins_cm_16_ucf101_r2p1d_perturb_core11,ins_cm_16_ucf101_r50l_g,ins_cm_16_ucf101_r50l_ig,ins_cm_16_ucf101_r50l_sg,ins_cm_16_ucf101_r50l_sg2,ins_cm_16_ucf101_r50l_grad_cam,ins_cm_16_ucf101_r50l_perturb,ins_cm_16_ucf101_r50l_perturb_core5,ins_cm_16_ucf101_r50l_perturb_core11,ins_scm_ucf101_r2p1d_g,ins_scm_ucf101_r2p1d_ig,ins_scm_ucf101_r2p1d_sg,ins_scm_ucf101_r2p1d_sg2,ins_scm_ucf101_r2p1d_grad_cam,ins_scm_ucf101_r2p1d_grad_cam_layer3,ins_scm_ucf101_r2p1d_perturb,ins_scm_ucf101_r2p1d_perturb_core5,ins_scm_ucf101_r2p1d_perturb_core11,ins_scm_ucf101_r50l_g,ins_scm_ucf101_r50l_ig,ins_scm_ucf101_r50l_sg,ins_scm_ucf101_r50l_sg2,ins_scm_ucf101_r50l_grad_cam,ins_scm_ucf101_r50l_perturb,ins_scm_ucf101_r50l_perturb_core5,ins_scm_ucf101_r50l_perturb_core11,del_cm_ucf101_r2p1d_g,del_cm_ucf101_r2p1d_ig,del_cm_ucf101_r2p1d_sg,del_cm_ucf101_r2p1d_sg2,del_cm_ucf101_r2p1d_grad_cam,del_cm_ucf101_r2p1d_grad_cam_layer3,del_cm_ucf101_r2p1d_perturb,del_cm_ucf101_r2p1d_perturb_core5,del_cm_ucf101_r2p1d_perturb_core11,del_cm_ucf101_r50l_g,del_cm_ucf101_r50l_ig,del_cm_ucf101_r50l_sg,del_cm_ucf101_r50l_sg2,del_cm_ucf101_r50l_grad_cam,del_cm_ucf101_r50l_perturb,del_cm_ucf101_r50l_perturb_core5,del_cm_ucf101_r50l_perturb_core11,del_cm_16_ucf101_r2p1d_g,del_cm_16_ucf101_r2p1d_ig,del_cm_16_ucf101_r2p1d_sg,del_cm_16_ucf101_r2p1d_sg2,del_cm_16_ucf101_r2p1d_grad_cam,del_cm_16_ucf101_r2p1d_grad_cam_layer3,del_cm_16_ucf101_r2p1d_perturb,del_cm_16_ucf101_r2p1d_perturb_core5,del_cm_16_ucf101_r2p1d_perturb_core11,del_cm_16_ucf101_r50l_g,del_cm_16_ucf101_r50l_ig,del_cm_16_ucf101_r50l_sg,del_cm_16_ucf101_r50l_sg2,del_cm_16_ucf101_r50l_grad_cam,del_cm_16_ucf101_r50l_perturb,del_cm_16_ucf101_r50l_perturb_core5,del_cm_16_ucf101_r50l_perturb_core11,del_scm_ucf101_r2p1d_g,del_scm_ucf101_r2p1d_ig,del_scm_ucf101_r2p1d_sg,del_scm_ucf101_r2p1d_sg2,del_scm_ucf101_r2p1d_grad_cam,del_scm_ucf101_r2p1d_grad_cam_layer3,del_scm_ucf101_r2p1d_perturb,del_scm_ucf101_r2p1d_perturb_core5,del_scm_ucf101_r2p1d_perturb_core11,del_scm_ucf101_r50l_g,del_scm_ucf101_r50l_ig,del_scm_ucf101_r50l_sg,del_scm_ucf101_r50l_sg2,del_scm_ucf101_r50l_grad_cam,del_scm_ucf101_r50l_perturb,del_scm_ucf101_r50l_perturb_core5,del_scm_ucf101_r50l_perturb_core11,ins_cm_ucf101_r2p1d_random,ins_cm_16_ucf101_r2p1d_random,del_cm_ucf101_r2p1d_random,del_cm_16_ucf101_r2p1d_random,ins_cm_ucf101_r50l_random,ins_cm_16_ucf101_r50l_random,del_cm_ucf101_r50l_random,del_cm_16_ucf101_r50l_random,ins_scm_ucf101_r2p1d_random,del_scm_ucf101_r2p1d_random,ins_scm_ucf101_r50l_random,del_scm_ucf101_r50l_random
v_Basketball_g01_c01,0.6440565539341346,0.5428921927497083,0.3848220426297071,0.6790229079697062,0.8723235122129029,0.3183210015443026,0.2521731876859478,0.26306523251182895,0.3008910561126529,0.3851321550623634,0.2984580146330234,0.39876304245403044,0.474778789374305,0.7123807619174448,0.6074921238576656,0.7755646153408509,0.8108717451068371,0.268708496922045,0.3103422518906882,0.11763074957707431,0.13439574801304843,0.536551206940203,0.5747066434560111,0.17767901682236698,0.240049644940882,0.2882892187772086,0.6790454705827216,0.4931701143853644,0.6255507191293219,0.6518191417329291,0.5657754262559394,0.744267257081745,0.7960630973451117,0.7764733751885871,0.21285385249939281,0.2789966985146748,0.12024371496227104,0.15210383672092576,0.5398696107586147,0.43961177610617597,0.17274328002531547,0.17107188545924146,0.22629335017700214,0.7036083421320001,0.6484740075305382,0.6524077757843116,0.7457520399824062,0.6087666481383422,0.7966307524241785,0.9096737044513503,0.918591501342533,0.017501990583094613,0.031160963669888617,0.017746129476531283,0.03517195052929281,0.06481594279936449,0.07730877925971831,0.18908853322912858,0.23288817174263357,0.20962425337473709,0.05889274394646386,0.21123613913456268,0.02184396598510837,0.03868590556958511,0.08080981487592356,0.18481481231331806,0.2332739075923809,0.30421172461399865,0.08849892728903797,0.1429753895936301,0.14791765772679355,0.18080347740033176,0.10968090557435062,0.07700355314591434,0.11508300864079501,0.14968064390996005,0.15670302473881748,0.3697524388902167,0.30172211133169924,0.22318923674750124,0.2479834278695563,0.07284621350693499,0.09556981377529894,0.281557353364704,0.21710781954455172,0.08305688797554467,0.11814403418975417,0.13064160016801907,0.11934776961425086,0.08066796393541154,0.07378937833709642,0.09947176159766968,0.09740250920003746,0.09769201200106181,0.15727434380755867,0.2707938649610517,0.13221693620231179,0.20417955051201453,0.12891398044113345,0.1323241094437,0.23852317337611595,0.22463486118966491,0.05548541211464908,0.07158294283726718,0.05716957115510013,0.09885148667672183,0.057500796543834554,0.3306228240601996,0.07362950794625078,0.3194063922040442,0.0633165354654193,0.058446983192116025,0.2790145327627579,0.345708811476743
v_Basketball_g01_c02,0.7260056972503662,0.5863287489496025,0.5175231870154248,0.7166280174226153,0.8270533022342944,0.4831255095846513,0.37231421576557205,0.4832968101781957,0.48694279152973025,0.4751003530093507,0.37155337275187406,0.3059612538980197,0.3563194761970274,0.6437972763704582,0.47199415505759346,0.8091605500979937,0.7921451251100128,0.41208069828280713,0.4223712911916664,0.2661966016603401,0.29573362377414014,0.6717337599111488,0.579528175861924,0.3844548096967628,0.44542595055827405,0.39468737748393323,0.718748403631551,0.538229776464803,0.609709633432729,0.6227678786147663,0.6102352867950032,0.7772831450332234,0.8233179579604695,0.8086649309028218,0.421161355523509,0.3890474930667551,0.35251545075152535,0.3927177263685735,0.605963826252264,0.46414163180452306,0.39253046696831007,0.3572348182351561,0.38662273630325217,0.5968930452712158,0.627307500375835,0.7706947444588224,0.7392242149565647,0.5894826999049911,0.7701035506673435,0.9037382892914394,0.8840141833409945,0.03599221064474463,0.03241130461784329,0.023528616596746633,0.038451851690261385,0.13994898369873132,0.2249847900298402,0.23337576437125526,0.31111573561380695,0.352479792823355,0.042133881738270186,0.14679004818663804,0.031980759198674824,0.07384790413251055,0.3335248909244667,0.22804228307922036,0.23577987106994364,0.25710631652369254,0.17037897613772657,0.17572581079730298,0.19809704330691602,0.2037583371711662,0.21664629188308027,0.14040791300067212,0.16117943135031965,0.17965608146914747,0.23603958693274762,0.37010608419070934,0.30121986373553966,0.22601486548076366,0.3486862312186787,0.17633035584579204,0.23126967056880687,0.3973106871474812,0.40730722054134105,0.12554733203432988,0.14114145914209075,0.14410873472661478,0.1368764267244842,0.13873185336706229,0.10527948048547842,0.10962828435731353,0.14799316477001412,0.18873755707318196,0.15760825990473604,0.21149754157027179,0.16618556357997846,0.2289943598794525,0.3913762340298632,0.18721880278881642,0.20849283351383052,0.23012236014785792,0.08602012750634458,0.11401376184949186,0.07439297494420316,0.10989008155593183,0.02370838999043201,0.3927317689288685,0.031889995478493915,0.3219335208762715,0.09744901668280363,0.07000806728377938,0.3288133787095467,0.32019731272748686
v_Basketball_g01_c03,0.8304474901919271,0.5665119818247416,0.49200669992349894,0.6870519110275543,0.7976503068033387,0.23091416467784667,0.2667229522677029,0.3681469106206707,0.30270218787824404,0.21850382131541168,0.27692453370346265,0.326442799276469,0.4315160797144028,0.7030555688726629,0.6908155219203977,0.7673010666578478,0.7101582285961794,0.33560116529406514,0.3014476740354439,0.15419118046702351,0.1267820441717049,0.25187595128954854,0.332698985337629,0.2036994242662331,0.2689605796331307,0.17720766305865254,0.5684912304044047,0.4242972532868663,0.6297230819821635,0.6551710466504375,0.5708621243596355,0.7543155650258342,0.8167417148709575,0.7814703086972514,0.2874358356493758,0.2334161034814315,0.13887130546208937,0.1440584394877078,0.33977776097890455,0.31806463772954885,0.2029617958032759,0.26090641198970843,0.19150149736378808,0.51531942483264,0.5946428209193328,0.6108079535536746,0.7147434942074398,0.5716678003430644,0.7917721887700537,0.8862491884850243,0.8563520402297655,0.020584943759306445,0.03280104484086431,0.016406306351615687,0.032329481051076116,0.058643138886788695,0.18989481816552287,0.21421237077241337,0.305786018516487,0.36507654200330025,0.09801135890355242,0.20402988712846745,0.03197434043549159,0.03708451743429084,0.17586709632876332,0.2129838787311924,0.22532465764146134,0.19532167879843318,0.15364617049635854,0.13127459526003804,0.13563571810664143,0.15282355189265218,0.10999817341507878,0.09863794535340276,0.1103679755324265,0.14930325686873402,0.2041954541200539,0.4285020927548686,0.31725061932804977,0.19088342288735305,0.21746380130055343,0.18990756074192916,0.13193001846077834,0.2515585223794261,0.2820473114609996,0.18881231361592654,0.0945886172412429,0.11018863507342758,0.09938435564254178,0.09624937958142255,0.08591716256341897,0.11677821761986706,0.10425826293067075,0.16449618440674385,0.20715303946708197,0.31259081619632756,0.17816721966029458,0.27283701457938214,0.4947185880628524,0.20366725295702004,0.22662660497744214,0.25687648198614044,0.054431903510703705,0.08708388298691716,0.053470216094865464,0.10668684482516255,0.039325943833617316,0.42472244302037154,0.04241397479775344,0.3692740599274913,0.12305163275450468,0.08140369514003395,0.35046044667362364,0.2717751057892201
v_Basketball_g01_c04,0.6811479720414854,0.5384378775808156,0.44872881508267976,0.7305856105159311,0.8527281380167194,0.2039490567775918,0.18501707775627865,0.16762916895688748,0.18690327652821354,0.38100501628422445,0.32310610968670117,0.32719534546032014,0.3373427693102605,0.5730789128471304,0.4212372999795708,0.6821835601410724,0.7014422940869254,0.13039855762326624,0.13014973803365137,0.05551286145055201,0.05712890728318598,0.34685899420583155,0.27742515607678797,0.09430377288663294,0.16890660031640437,0.12110748990380671,0.651619282935215,0.40029641744906996,0.5660435235243568,0.6263203298788795,0.6337948119383583,0.7866528308134804,0.7439908063154945,0.7396099245291481,0.11795255048491526,0.09715525487263221,0.07160918060981203,0.07841338358412031,0.3203984463616507,0.11996297178848181,0.11050819251977373,0.10480192060640547,0.1256948556547286,0.6535538450464884,0.5600950416758934,0.48294886589276587,0.5501969076343158,0.5888330386136005,0.7923095139324943,0.741900294704763,0.7304277798742334,0.018348755454277898,0.02915942913845299,0.01947702149178569,0.035929873923030424,0.0359943512475162,0.1965245729913627,0.18353590590688657,0.2625534764278357,0.2939712321165744,0.04711759246468526,0.19728144314573487,0.07741727126154356,0.10562187096493433,0.15007291221471267,0.19894537790781852,0.18676779463763293,0.22896220004692774,0.12375737084948923,0.11996755852305796,0.14605262978875544,0.1817834834655514,0.07014709814393427,0.0880906294187298,0.10877782954776194,0.14767246051633265,0.2200280736287823,0.3534414148073921,0.323803839657856,0.1854046112042198,0.2801459705572853,0.09696921465213393,0.252548602793766,0.3427486395579109,0.3450351035338173,0.07432883633009624,0.11739795703761047,0.12603327200486092,0.13114862584188813,0.045827965877833776,0.05577298089338001,0.06278669431048911,0.07765688560903072,0.1252140449360013,0.15218210714696045,0.27276200400702666,0.12892932009123914,0.20373618698093177,0.1653904434329263,0.16381134895845584,0.175715359626206,0.1876519767181808,0.04993455587828066,0.05758331074321177,0.04169699652993586,0.06728877230489161,0.04667309430654143,0.36183601376826857,0.04652094600017165,0.3428832566481361,0.04227343361824751,0.03830293694511056,0.22517541577219163,0.2804667441993115
v_Basketball_g01_c05,0.8583539471906774,0.558477177865365,0.4618397352523079,0.5932115230198,0.9713602792398602,0.3000960285684057,0.323394177167439,0.3440727047476114,0.36994921321085855,0.2871032165273381,0.2904983569541068,0.2823217693284786,0.32930388095558083,0.6904279866078675,0.5758976440761203,0.8065970169539665,0.7903896414576094,0.35856309287191834,0.3805099105084082,0.19683947913290467,0.20396651081682649,0.7081799184525153,0.4368131434166571,0.34518569461943116,0.33912893883825745,0.2988007938110968,0.6038859695311913,0.4728021234389672,0.6043803900596032,0.624578318011416,0.5681321233626733,0.8184725850936303,0.7749420017119775,0.7828446239348779,0.3021127430984052,0.32727279800747056,0.2525375893601449,0.2652300771587761,0.6838910480291815,0.4343376563192578,0.36876500288781244,0.3200991475750925,0.322790281221387,0.5788262345943878,0.5787616385262737,0.6234635491039882,0.7939535511307696,0.5259776731603125,0.8894741038441936,0.8503280183416138,0.8686464821569899,0.021186576499860353,0.031966026476401045,0.013902249870689835,0.019479029863251476,0.08005203985733779,0.16773867898979994,0.15746415985792173,0.2887469299694919,0.31404712571813836,0.044390895857050486,0.18453525127616435,0.0411384334831067,0.06756057576159774,0.33166074627255815,0.15855941003929894,0.22645502453003324,0.21615532384372116,0.0907784824812552,0.19957235209585633,0.1290458267176291,0.1308059071743628,0.1283630406105658,0.09631141774298158,0.12865142278315034,0.13770887009741273,0.21014035992266145,0.361992856871737,0.30453314484323357,0.31620230377878045,0.39486258329118584,0.18801653982366417,0.11992871613468026,0.33713301123346184,0.33092146218980645,0.08201902081782464,0.15824559127213433,0.11399536453973269,0.09685591299785301,0.07215029289363883,0.08009227577713318,0.09616831126913894,0.10250343319785316,0.1324352539377287,0.18072403391448555,0.20215169105453512,0.24427783362029376,0.3575521087427509,0.2143827272114578,0.1289357038823984,0.19686364700714143,0.20398380747435896,0.06991011403442826,0.0874678020918509,0.06780592851282563,0.11023644857050385,0.02773353309596871,0.3045577615615258,0.027555911254538046,0.3468301802989373,0.07480158071964979,0.0704836250282824,0.2660921173274437,0.35290991593888976
v_Basketball_g01_c06,0.7998665175017189,0.5948563955505105,0.6324476449074699,0.6872559632667724,0.8893542288272989,0.35458322690398086,0.3609548423658399,0.3519697989464975,0.4535747510837574,0.06521209539161199,0.16987468787178742,0.13458848379951815,0.26578087443829684,0.5790495284165919,0.6191122148506977,0.7130050971795344,0.7167420482835344,0.3906647349795094,0.587168463607668,0.2749766196211567,0.2472061599692097,0.5407431210478535,0.5460335101088276,0.36050547017657664,0.4198538149794331,0.45668006791675,0.6370524188153723,0.36024192176985537,0.5168894549481848,0.5690689703099707,0.5633323212735633,0.6622952839009741,0.7407498379819373,0.6966564675443152,0.34684818431560416,0.42580320879642386,0.3196804379840614,0.3333552084659459,0.5822074590978445,0.4010014588275226,0.3585628297441872,0.32486291097302455,0.3958436086104484,0.654620048741279,0.6525347876943925,0.6340753386378566,0.7066975223481933,0.5571972738601545,0.7316394421853403,0.8062147481017092,0.76865005322027,0.031752644202077955,0.037695523659427334,0.016828047580958353,0.025718028723137585,0.08992830351523058,0.21438309232022348,0.21499393010643994,0.33389237181349535,0.3572810060953296,0.10694425210467456,0.29057213468103876,0.021120893356771742,0.03251913557130503,0.22030393031866513,0.2621730525309925,0.47047904547971986,0.5187084648200188,0.14081468536460306,0.12336496367061045,0.13286654009425547,0.13153889133536723,0.1622631336649647,0.1045965190132847,0.1288008178671589,0.17044413938128855,0.18874917282664683,0.3489248772733191,0.24667582117247377,0.08403324537205492,0.18346205555128847,0.09304801576065813,0.2363998463027457,0.3726523836724738,0.4761260172002295,0.09024226744804764,0.07968158595758723,0.09405091017833911,0.0849087753231288,0.07619070958025986,0.07845357009500731,0.07965669754776172,0.10349650047282921,0.10001643322175369,0.253135303497102,0.18103575194239804,0.26494837683437156,0.26937511565380756,0.2821513253011929,0.2491107084788366,0.2707530355997509,0.31480396222038687,0.0921238000591984,0.08986580475175288,0.10841807826363947,0.11722552134597208,0.019290896283862935,0.4163336773984412,0.03856278412270342,0.388045253383396,0.07477670412510634,0.05839321801438928,0.3557230403005997,0.3840157725363133
v_Basketball_g01_c07,0.923010156435125,0.6893236476033195,0.8011351586483857,0.7813532392768299,0.8816370079914729,0.4820724266855156,0.6946204542675439,0.6565032370315463,0.6978634306320957,0.19562353018018275,0.11422450270758405,0.3295545443415659,0.33881046594300357,0.3503987379780327,0.6027610488953801,0.6409508523891346,0.660240106743232,0.4827774065634003,0.7215313213964691,0.6831261414190521,0.7018815773626557,0.8150761026045075,0.598885466446518,0.8117541569372406,0.7818833488126984,0.7625617283483734,0.5924536664945919,0.35202888445685687,0.681409724519952,0.6582897980673152,0.5201737959844905,0.6347445328695613,0.5597789366705257,0.46318767266105,0.5683890642394545,0.6296831819490762,0.7532934789342107,0.773957933372003,0.7488820430153282,0.5969932464213343,0.6994153469131561,0.7412971750163706,0.7267620219645323,0.6215660829532936,0.475348932519708,0.7337397721006056,0.7305593532312997,0.6576272767363918,0.6584955950150544,0.6143920396373943,0.590850747065204,0.07636320449441202,0.0821649395662734,0.044028942143236556,0.08183512641630304,0.20641345711146283,0.2776009488381504,0.28996247767404776,0.3538900795502691,0.40570788764519483,0.10169884821388273,0.13786597521162391,0.025580526755206168,0.014384351652709692,0.28030226601310465,0.22124776310926153,0.38743476053605264,0.34618238960496184,0.19075668333971407,0.12226891993486788,0.1490967172285309,0.16083831070864107,0.24490346490347292,0.14176688074076083,0.22045612811052706,0.23316690801584627,0.3323378759523621,0.3271069009764034,0.3848749478323299,0.1928011556131679,0.2391854603750545,0.07844867603610339,0.14440701203177753,0.3940078993303615,0.31766105489562335,0.16341811775782844,0.11479733058513375,0.1175792059439118,0.11844023498269962,0.14244744235475082,0.15871586845605634,0.1270323445496615,0.1331000254067476,0.17301755891821813,0.21125972274680876,0.32501368285310955,0.2218871568970658,0.14685106332167686,0.16397531539575994,0.18199925181789192,0.33950282533235177,0.31568037005371463,0.24918355523550417,0.1316685575147858,0.22978649019205477,0.14018740235769656,0.018910792188151504,0.38872478203605,0.016907535956605102,0.4123230357630092,0.17528563152998686,0.12857400545850395,0.31309334810584916,0.30399403651399554
v_Basketball_g02_c01,0.8880718247563231,0.5824629687503272,0.751991900063905,0.7390181570076475,0.7992230142740643,0.5736781905533052,0.517307194073995,0.5377192691881575,0.5895373836707543,0.4732404129823087,0.20897891976620298,0.3690541785037142,0.4056314405886728,0.6746260588695671,0.45970813608074,0.6587598927369126,0.7105319458144568,0.4695128936873516,0.6520241637335857,0.6137746114836773,0.6077905435668072,0.6762990493880352,0.7075588245497784,0.6054172058211407,0.6266054649458965,0.6949539919005474,0.7563177660689036,0.5155877784475962,0.5411300376639048,0.5367188171133677,0.8071924761519114,0.6292848304495493,0.7766662553534189,0.778732152341334,0.38309417648997623,0.5206579305959167,0.4930423978512408,0.5431069688202115,0.4520364180934848,0.47955887399439234,0.495268209677306,0.5311398723424645,0.5059101160877617,0.9071660332031826,0.6402257966459075,0.7849147637956122,0.7978281678282002,0.8711023625567833,0.7883783259079138,0.8295175658189038,0.8336452452115992,0.09385369223813841,0.09872558019233971,0.06863087543293717,0.1333826870518172,0.2946496107065537,0.13683492988054677,0.2823444293797251,0.3368593793303713,0.30555933442582767,0.13230770653855126,0.34367252209283217,0.16301058283230432,0.26234321111997266,0.6114640063774208,0.6447294219858344,0.4626322652997274,0.4789153343696574,0.1900590945588192,0.14452089263068046,0.22916850341425743,0.27980656815634575,0.31005598498450126,0.18573520971403923,0.26424814654455986,0.4284731288062176,0.29752541972266044,0.5462251619085947,0.6069655135855356,0.5387128308996836,0.545618446229426,0.6278252915129343,0.6642890290007273,0.590882928727595,0.5869433597311655,0.11461521421006182,0.11013268300303025,0.13074720327858813,0.17061071809439454,0.18544160653982544,0.10593071650509955,0.15443132648942992,0.21907812266726978,0.15299892432813067,0.5404612924961896,0.5912481349573824,0.444937935414794,0.4680559312672754,0.6291222394680531,0.5269964472265887,0.49727591208765354,0.5256697203017024,0.18590472532378044,0.15668563438521232,0.23308296395407524,0.14314079178438988,0.030483955203024493,0.5116367057547251,0.02828364229056035,0.4895007327780405,0.11916156481951475,0.11066738124936819,0.4436073722422043,0.5688828291842402
v_Basketball_g02_c02,0.8517573858008666,0.7655201680593047,0.8618978364703556,0.8200998552764456,0.6720557222909788,0.6624499929740149,0.4568495486735129,0.6179299661341835,0.560681681627152,0.4346196591200829,0.3651358384359078,0.40937411971738713,0.4722252214403628,0.6351554866123554,0.27153965607306546,0.7680603682512632,0.7144480576156068,0.33741382403241005,0.6760517720686039,0.6145117644773563,0.5972948436246952,0.43290037555561867,0.8079917792783817,0.5192793969617924,0.7274034981237492,0.6249090795026859,0.7205139516502896,0.5466649054199735,0.6744128583580533,0.6569904206902066,0.7669181941658536,0.7323280094772855,0.8525489686638394,0.8578689216286222,0.2530613877606811,0.47295880697492976,0.37082621834997553,0.42002877972845454,0.3340466060471954,0.5640636706521036,0.3750839867425384,0.4412308671307983,0.39567083500151057,0.7761232854448537,0.6459845306001881,0.7268543244920949,0.6752538086496571,0.7749238015733937,0.7399380208574513,0.8666556479059437,0.8801285626016835,0.16237868179427825,0.13799950185664525,0.12479346109128843,0.23671573199566423,0.3161048671949332,0.1412265170365572,0.3189093570158942,0.27292591695651763,0.32278585890088024,0.07641778749033204,0.38419123584119336,0.1971764936807867,0.3034756457359113,0.5956066299258534,0.6166870112141566,0.4729591764450353,0.5428322437827322,0.3965593640314182,0.16736438019142952,0.271613693665131,0.33676419300900307,0.4294994835363468,0.15671510143147316,0.30112967533932533,0.235836407970055,0.23428819222317543,0.6112955926567594,0.5929945825249234,0.5309087752014676,0.540165316930441,0.6291732906014005,0.6782526491791288,0.587335419526724,0.6137138723045865,0.18481772022641962,0.10993263500131434,0.14238731937803095,0.16289538519777125,0.24094756322301691,0.09311890315439086,0.11782722549833125,0.10970872270263499,0.10981005059875315,0.3811648625895039,0.5827539104982868,0.390611483530666,0.4095069307848469,0.6044353980585591,0.5010085839792744,0.3929291207357899,0.33281199522462046,0.25711769504414406,0.17151691658364143,0.2304703955160221,0.1843975846277317,0.0719704596907178,0.5414291142136136,0.06608257876935397,0.5411144016891996,0.11517988692969083,0.1407320067565888,0.45139167805313263,0.5287550911922017
v_Basketball_g02_c03,0.8474603558287901,0.7010983899820085,0.7730998950846055,0.7669162695533505,0.8093709151534473,0.5804205088492702,0.4939933243919821,0.6521647898297683,0.5689465024599842,0.2073624469655995,0.18520840587952275,0.1874446342897693,0.2584892423316036,0.6125318316948899,0.42631511336825023,0.5280410490819728,0.4568018541014431,0.5191664524463704,0.6674136944202473,0.5323099322704365,0.5039763875392964,0.46487913803139236,0.6407010383991292,0.6165440507320454,0.7306393809703877,0.6561749406246236,0.7455324420355538,0.7402946242712716,0.6268533954046944,0.5579329618834237,0.7913717517279366,0.6096725949667672,0.6221910008810738,0.6089560875319222,0.3908503996935906,0.5811807183345081,0.45680082782928366,0.4735636225232156,0.3943650825676741,0.4748142171447398,0.522755310710636,0.6068093593494268,0.5215393794496777,0.8576586578622738,0.8393984219640771,0.7145827842526415,0.711949833820043,0.7852817912701795,0.7666412435122112,0.7606139876064191,0.693154765211446,0.11594229641803137,0.12272077386714811,0.1808967161923647,0.3151878126581588,0.20557294925308134,0.14075422273787458,0.3997171529253402,0.3128052357232242,0.3925901950432325,0.11102658619320281,0.1286954212493125,0.09643698340553919,0.1682516513963664,0.35165764699998786,0.5835800404740411,0.6131137355222757,0.5185861187773706,0.21307886914291885,0.13859855906048324,0.38269774393120315,0.43725736216583755,0.28461639360466506,0.1734797932294896,0.3450784511951497,0.23153708652534988,0.3403472729114583,0.6324862131499032,0.5843738803290108,0.6231150516890267,0.5785646924399117,0.4808471688650826,0.6548398622893075,0.7002492436789254,0.6212506780050973,0.2160782690771157,0.12117153683357174,0.35145200506667607,0.38940640142391203,0.18857933812978445,0.14351920603075996,0.18695006852067309,0.17354604241700144,0.22504856665909756,0.5381619613188438,0.48499201616303367,0.4815469899021281,0.5208023349209654,0.4619332631394286,0.6063749700389889,0.6128592391798482,0.513470877701224,0.2237104900268605,0.20940515176334884,0.20821934715786483,0.12463645414391067,0.17749996870982443,0.5687388667486886,0.18751599282252585,0.5774262437247017,0.24016896914690733,0.1702770013548434,0.5470801784574906,0.6128732158689855
