The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_grad_cam_full_layer3_test.pt
v_Basketball_g01_c01: 0.3183210015443026
v_Basketball_g01_c02: 0.4831255095846513
v_Basketball_g01_c03: 0.23091416467784667
v_Basketball_g01_c04: 0.2039490567775918
v_Basketball_g01_c05: 0.3000960285684057
v_Basketball_g01_c06: 0.35458322690398086
v_Basketball_g01_c07: 0.4820724266855156
v_Basketball_g02_c01: 0.5736781905533052
v_Basketball_g02_c02: 0.6624499929740149
v_Basketball_g02_c03: 0.5804205088492702
v_Basketball_g02_c04: 0.39377897887253294
v_Basketball_g02_c05: 0.663210221657566
v_Basketball_g02_c06: 0.6638461590543682
v_Basketball_g03_c01: 0.38609449208221014
v_Basketball_g03_c02: 0.2978972812420597
v_Basketball_g03_c03: 0.43076904908406966
v_Basketball_g03_c04: 0.5437851493849474
v_Basketball_g03_c05: 0.3449330512324677
v_Basketball_g03_c06: 0.5439596669857993
v_Basketball_g04_c01: 0.419763051236377
v_Basketball_g04_c02: 0.12698591881084675
v_Basketball_g04_c03: 0.3955040632801897
v_Basketball_g04_c04: 0.3969436822276489
v_Basketball_g05_c01: 0.6437652913597869
v_Basketball_g05_c02: 0.10083013742285617
v_Basketball_g05_c03: 0.4820729652310119
v_Basketball_g05_c04: 0.6125825011189662
v_Basketball_g06_c01: 0.5223809346191439
v_Basketball_g06_c02: 0.40084214393122525
v_Basketball_g06_c03: 0.7028770033635345
v_Basketball_g06_c04: 0.6108817446757765
v_Basketball_g07_c01: 0.44188322841244587
v_Basketball_g07_c02: 0.3998572668097183
v_Basketball_g07_c03: 0.40035540024731675
v_Basketball_g07_c04: 0.520862010351437
v_BasketballDunk_g01_c01: 0.6138336017654807
v_BasketballDunk_g01_c02: 0.5468033717945218
v_BasketballDunk_g01_c03: 0.518311327107835
v_BasketballDunk_g01_c04: 0.5958016814079647
v_BasketballDunk_g01_c05: 0.7627245782271904
v_BasketballDunk_g01_c06: 0.6491278955457257
v_BasketballDunk_g01_c07: 0.6202284056218523
v_BasketballDunk_g02_c01: 0.6691951343899264
v_BasketballDunk_g02_c02: 0.5083956843461184
v_BasketballDunk_g02_c03: 0.6051035659387708
v_BasketballDunk_g02_c04: 0.48100312617333496
v_BasketballDunk_g03_c01: 0.5689663860946894
v_BasketballDunk_g03_c02: 0.5319066051028523
v_BasketballDunk_g03_c03: 0.7201683808081583
v_BasketballDunk_g03_c04: 0.7794970888133143
v_BasketballDunk_g03_c05: 0.525473470949367
v_BasketballDunk_g03_c06: 0.60949674749053
v_BasketballDunk_g04_c01: 0.644039601010873
v_BasketballDunk_g04_c02: 0.5149322066236944
v_BasketballDunk_g04_c03: 0.6692556014686238
v_BasketballDunk_g04_c04: 0.6251903130727656
v_BasketballDunk_g05_c01: 0.6441178472018709
v_BasketballDunk_g05_c02: 0.5626036437557024
v_BasketballDunk_g05_c03: 0.6373041154488045
v_BasketballDunk_g05_c04: 0.6329532642647916
v_BasketballDunk_g05_c05: 0.6059051586716783
v_BasketballDunk_g05_c06: 0.5649198995282253
v_BasketballDunk_g06_c01: 0.6994666813489269
v_BasketballDunk_g06_c02: 0.6208637674065197
v_BasketballDunk_g06_c03: 0.5855718239411419
v_BasketballDunk_g06_c04: 0.5835807076637067
v_BasketballDunk_g07_c01: 0.5738278294128238
v_BasketballDunk_g07_c02: 0.6132125223384184
v_BasketballDunk_g07_c03: 0.5212949658871866
v_BasketballDunk_g07_c04: 0.5997859403454497
v_BasketballDunk_g07_c05: 0.6879996324359786
v_BasketballDunk_g07_c06: 0.6332053496082332
v_Biking_g01_c01: 0.5964672513251357
v_Biking_g01_c02: 0.34802507717965864
v_Biking_g01_c03: 0.8299029120189302
v_Biking_g01_c04: 0.27478424241748073
v_Biking_g02_c01: 0.41064822132717455
v_Biking_g02_c02: 0.5164955198290009
v_Biking_g02_c03: 0.30429496615029433
v_Biking_g02_c04: 0.673349124468936
v_Biking_g02_c05: 0.5782033136662315
v_Biking_g02_c06: 0.3846864684411854
v_Biking_g02_c07: 0.3083804451586569
v_Biking_g03_c01: 0.2889298496804401
v_Biking_g03_c02: 0.5899695158753471
v_Biking_g03_c03: 0.602374083515914
v_Biking_g03_c04: 0.3602940820029699
v_Biking_g04_c01: 0.4639789611338547
v_Biking_g04_c02: 0.34883875269260184
v_Biking_g04_c03: 0.35846929564232044
v_Biking_g04_c04: 0.3272248392650748
v_Biking_g04_c05: 0.44352856684001346
v_Biking_g05_c01: 0.24329609332934898
v_Biking_g05_c02: 0.4265275167319558
v_Biking_g05_c03: 0.30549468593306695
